det,slope,offset
1,1.0591524791847893,-0.5706474462531332
2,0.94187203005857,-0.4365123218030931
3,1.1447951645399599,1.5661517797170745
6,0.9888618169161155,0.7473024712844563
7,0.8603876438522108,1.6505148394908247
9,0.9119409372993794,1.2250160496469107
10,1.0135569033178737,1.1808776311090696
11,0.901427815970386,0.7918561607611991
13,1.438723835246455,0.25303848750809266
15,1.0240297969482157,1.0331611197889288
17,1.0131954350927248,1.362696148359646
18,0.9676430517711171,2.987397820163096
19,0.9153689184835141,1.139512404683046
20,1.0202298300215464,0.8850849892269252
22,1.4918606686504463,8.242954664799981
25,1.0496305418719214,0.8795566502449219
26,0.9198143751349019,1.4228361752639103
27,1.618496012153437,-50.61811621724246
28,1.5615610113594722,1.9311102968113119
