det,slope,offset
1,1.0569684913348578,0.7981500254081766
2,3.345540703014677,2.4959190943673093
3,3.378262542567449,1.4026954575501804
4,1.0482697941086223,0.30897555814681255
5,1.019926130297705,1.1416770426758376
6,0.9935125599884412,1.453652705485183
7,1.0125715763431327,1.2391320905953762
9,1.0273327939842787,0.5381966097402255
10,1.0143402400981252,0.8206100771694764
11,1.0168688938669947,0.9752466264799295
13,1.0013755504179493,1.4166660073942694
15,1.0042871602783614,1.0885287817654898
18,1.0196286557440377,3.134543279834361
19,0.9799846709017765,1.8055186933861478
20,1.020288573771386,2.3365561500831973
25,1.047144204297931,3.1947573791894683
26,0.9221400656307672,1.0824825041299846
27,1.0071503695296962,17.42523166059118
28,1.0122784742019537,0.18044439809182222
