det,slope,offset
1,1.2903672980320762,1.110167290688804
2,1.0152980194320214,0.7154101270546896
3,1.0095146791594676,1.2174804849756335
5,1.4362981490982216,1.000633597343348
6,1.0202338855053321,0.8149605122028257
7,1.0219745102334905,0.9125659177319082
9,1.050491654914996,2.6889956452406265
10,0.7392578212445502,0.9901948995330637
11,1.585664761015352,0.17567806537097452
12,0.7385078739640661,-0.05559032015937393
13,0.968065913937693,1.7221719324921825
14,0.7985946060902308,23.299988319707307
15,1.024641455567277,0.40123206569740855
