det,slope,offset
1,1.0554474708171206,1.218871595330711
2,0.9410234171725932,1.9063313096270917
3,1.1445147679324894,1.6909282700422068
6,0.989963503649635,1.1687956204379475
7,0.868,-1.1200000000000045
9,0.9117647058823529,0.41176470588237635
10,1.0159176029962547,1.0093632958801777
11,0.9218351741716228,1.225148683092641
13,1.4370860927152318,2.2715231788079677
15,1.024551463644948,2.822474032105788
17,1.014018691588785,0.9485981308411624
18,0.967885816235504,2.8599464763604487
19,0.9179357021996616,1.5456852791878077
25,1.0432692307692308,6.057692307692264
26,0.9313304721030042,0.6309012875536837
28,1.2191011235955056,1.415730337078685
