det,slope,offset
1,1.0552005679801206,0.9870429534967116
2,0.9382891414141414,0.003787878787761656
3,1.1450308166409862,1.9121725731895367
6,0.9891846921797005,0.44592346089848434
7,0.8639732597006249,1.8070047958146915
9,0.9119496855345912,-0.2138364779875701
10,1.0221801925722145,0.4064649243468921
11,0.9189982995826248,0.7382903076209004
13,1.43807450411224,1.5399129172712946
15,1.024646673560841,-1.8359186487416537
17,1.013986013986014,0.4685314685314097
18,0.9688722294654498,1.1194589308995546
19,0.9192825112107623,0.18834080717488177
20,1.0214776632302405,-0.4140893470789706
25,1.0457343887423043,1.2515391380827623
26,0.9324027603513174,0.9079360100377016
