det,slope,offset
1,1.0561688178651913,0.8704609711130615
2,0.940207915374795,1.407309866860487
3,1.145591111111111,1.21195555555596
6,0.9898540706605222,1.225153609831068
7,0.8635108877721943,1.5285762144058026
9,0.9125792175606303,0.8682173836073162
10,1.0149950777712147,1.4724709588499536
11,0.9031464611072181,0.7222494744210053
13,1.4387831426179183,1.6707675132565782
15,1.0240683353198254,2.038037346046167
17,1.0139968528717545,0.9595830055077386
18,0.9686508831266443,2.4582863585114865
19,0.9164728888888888,1.4410737777784561
20,1.0214305528036456,1.3061541509805465
22,1.5091217798594847,0.9168384074937421
25,1.0503585982070092,1.5760798695996527
26,0.9208931761343336,0.825180421578807
27,1.6699578879170713,-215.4316812439256
28,1.5616964556195094,3.448651923658872
