det,slope,offset
1,1.0316974901929916,0.7160827593434078
2,1.0174757229419957,23.36118932838872
3,1.0277349274836087,2.0456833596663273
4,0.9689847747243207,1.6200479730932784
5,0.9862601305159847,2.062045097229202
6,1.0089722976653983,9.235991847141122
7,0.9825355464307786,-1.8235968696280906
9,1.003505680034988,0.867301074000352
10,1.007882035457652,1.5211760246438644
11,1.0108835172926496,2.002237948236143
12,0.9947691106349923,0.5376519456076494
13,1.0153123274331026,0.6928405024664244
14,1.0190084509201096,0.42826096305816463
15,1.0273751257997932,1.6573546066592826
17,1.03598335454595,0.36150666817775345
19,1.0180491557927869,1.3476352239804328
20,1.0223884947151223,2.2703628537492477
25,0.9823799462636201,2.1235653661960896
